发行商,电影名,评论人数
古鲁家族(港 / 台) ,疯狂原始人,366565
怪兽公司(港)  /  怪物公司,怪兽电力公司,236333
卢安达饭店(台),卢旺达饭店,118019
夺命黑天鹅  /  霸王别鹅(豆友译名),黑天鹅,413047
迷幻列车(港)  /  定位的火车,猜火车,246781
跳跃吧！时空少女(台)  /  Toki o kakeru shôjo,穿越时空的少女,183659
滑铁卢桥  /  断桥残梦,魂断蓝桥,128129
深情日记  /  写我情真,恋恋笔记本,278022
雨中情  /  万花嬉春,雨中曲,92193
A Better Tomorrow  /  Gangland Boss,英雄本色,154248
傲慢与偏见2005  /  Pride And Prejudice,傲慢与偏见,297119
教父第三集  /  教父 III,教父3,127933
强盗保镳,完美的世界,78564
Once a Thief,纵横四海,142095
萤火之社  /  Hotarubi no mori e,萤火之森,153724
反斗奇兵3(港)  /  玩具的故事3,玩具总动员3,189197
逍遥法外  /  神鬼交锋(台),猫鼠游戏,223032
哈利波特1：神秘的魔法石(港 / 台) ,哈利·波特与魔法石,252779
天神下凡  /  化身,阿凡达,528168
风谷少女  /  Kaze no tani no Naushika,风之谷,175760
日落巴黎(港)  /  爱在日落巴黎时(台),爱在日落黄昏时,198134
穿条纹衣服的男孩  /  穿条纹衣的男孩,穿条纹睡衣的男孩,143156
心之谷  /  梦幻街少女,侧耳倾听,167388
失踪的女孩  /  失踪女孩,消失的爱人,352734
再见萤火虫(港)  /  萤火挽歌,萤火虫之墓,202966
人间师格(台),超脱,171772
驯龙记(港),驯龙高手,282917
倩女幽魂(87版)  /  A Chinese Ghost Story,倩女幽魂,247961
Kikujirô no natsu  /  菊次郎的夏天,菊次郎的夏天,180431
死亡“动”新闻(港)  /  恐怖攻击直播(台),恐怖直播,217137
盗梦侦探  /  帕布莉卡,红辣椒,132113
机场客运站(港)  /  航站情缘(台),幸福终点站,224084
Oceans  /  海洋,海洋,98775
七侠四义(港)  /  The Seven Samurai,七武士,76862
1969太空漫游  /  Echoes Of The Rainbow,岁月神偷,305712
卑鄙的我  /  坏蛋奖门人(港),神偷奶爸,371945
借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),借东西的小人阿莉埃蒂,214646
夺魂锯(台)  /  恐惧斗室(港),电锯惊魂,197656
叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),谍影重重3,179450
谋杀回忆  /  杀手回忆录,杀人回忆,208132
爱是您，爱是我(台)  /  真的恋爱了(港),真爱至上,305974
一起快乐  /  Happy Together,春光乍泄,247854
让子弹飞一会儿  /  火烧云,让子弹飞,626424
骄阳似我(港)  /  心灵捕手,心灵捕手,272321
大闹天宫 上下集  /  The Monkey King,大闹天宫,99229
魔法公主  /  幽灵少女,幽灵公主,235888
In the Heat of the Sun,阳光灿烂的日子,271520
灵异第六感  /  鬼眼,第六感,236218
Chungking Express,重庆森林,331475
大鱼奇缘(港)  /  大智若鱼(台),大鱼,253463
东成西就  /  大英雄 (日本),射雕英雄传之东成西就,277059
不赦岛(港)  /  隔离岛(台),禁闭岛,360563
Comrades: Almost a Love Story,甜蜜蜜,233313
阳光姊妹淘(港)  /  桑尼,阳光姐妹淘,269056
Yi yi  /  Yi yi: A One and a Two,一一,156469
无主之城 (港)  /  无法无天 (台),上帝之城,158608
杀人游戏  /  致命身份,致命ID,319258
谎言的烙印(台)  /  诬网(港),狩猎,127607
末代皇帝溥仪(港),末代皇帝,165243
自白  /  母亲,告白,343187
布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),布达佩斯大饭店,308782
加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),加勒比海盗,343667
断臂山,断背山,318378
佈局(台)  /  The Invisible Guest,看不见的客人,266739
情留半天(港)  /  爱在黎明破晓时(台),爱在黎明破晓前,219936
"The Masses  /  Temps modernes, Les",摩登时代,88142
When I Close My Eyes  /  Letters of Love,情书,381750
逆权大状(港)  /  正义辩护人(台),辩护人,209322
艾蜜莉的异想世界(台)  /  天使艾米莉,天使爱美丽,488778
四海兄弟(台)  /  义薄云天(港),美国往事,178032
Eat Drink Man Woman,饮食男女,202089
优兽大都会(港)  /  动物方城市(台),疯狂动物城,506404
战地琴人  /  钢琴战曲,钢琴家,205766
狮子王3D,狮子王,285589
火线追缉令  /  7宗罪,七宗罪,441073
花样奇缘(港)  /  令人讨厌的松子的一生(台),被嫌弃的松子的一生,288129
顶尖对决(台)  /  死亡魔法(港),致命魔术,348488
天堂的孩子  /  小童鞋,小鞋子,138883
